num_spheres,width,height,run,time_ms,runtime
200,1920,1080,9,276.292,gpu_layered
500,320,180,0,22.5014,gpu_layered
500,320,180,1,22.5161,gpu_layered
500,320,180,2,22.5554,gpu_layered
500,320,180,3,22.4944,gpu_layered
500,320,180,4,22.5026,gpu_layered
500,320,180,5,22.4386,gpu_layered
500,320,180,6,22.3877,gpu_layered
500,320,180,7,22.647,gpu_layered
500,320,180,8,22.4122,gpu_layered
500,320,180,9,30.8748,gpu_layered
500,640,360,0,106.156,gpu_layered
500,640,360,1,106.224,gpu_layered
500,640,360,2,79.7283,gpu_layered
500,640,360,3,79.7113,gpu_layered
500,640,360,4,79.7554,gpu_layered
500,640,360,5,80.5335,gpu_layered
500,640,360,6,78.7884,gpu_layered
500,640,360,7,80.0274,gpu_layered
500,640,360,8,79.5985,gpu_layered
500,640,360,9,79.8387,gpu_layered
500,1280,720,0,304.732,gpu_layered
500,1280,720,1,304.973,gpu_layered
500,1280,720,2,306.032,gpu_layered
500,1280,720,3,305.603,gpu_layered
500,1280,720,4,311.524,gpu_layered
500,1280,720,5,309.19,gpu_layered
500,1280,720,6,313.186,gpu_layered
500,1280,720,7,311.142,gpu_layered
500,1280,720,8,313.261,gpu_layered
500,1280,720,9,325.818,gpu_layered
500,1920,1080,0,715.428,gpu_layered
500,1920,1080,1,735.499,gpu_layered
500,1920,1080,2,742.288,gpu_layered
500,1920,1080,3,742.446,gpu_layered
500,1920,1080,4,735.187,gpu_layered
500,1920,1080,5,724.16,gpu_layered
500,1920,1080,6,742.301,gpu_layered
500,1920,1080,7,736.385,gpu_layered
500,1920,1080,8,729.784,gpu_layered
500,1920,1080,9,734.349,gpu_layered
1,320,180,0,0.941468,gpu_buffer
1,320,180,1,0.545405,gpu_buffer
1,320,180,2,0.544095,gpu_buffer
1,320,180,3,0.547745,gpu_buffer
1,320,180,4,0.543665,gpu_buffer
1,320,180,5,0.559535,gpu_buffer
1,320,180,6,0.545714,gpu_buffer
1,320,180,7,0.547954,gpu_buffer
1,320,180,8,0.546115,gpu_buffer
1,320,180,9,0.541434,gpu_buffer
